Symbol,CompanyName,ISIN, Sector
CUPID,Cupid Limited,INE509F01029,EQ
CURAA,Cura Technologies Limited,INE117B01020,BE
CYBERMEDIA,Cyber Media (India) Limited,INE278G01037,EQ
CYBERTECH,Cybertech Systems And Software Limited,INE214A01019,BE
CYIENT,Cyient Limited,INE136B01020,EQ
CYIENTDLM,Cyient DLM Limited,INE055S01018,EQ
DABUR,Dabur India Limited,INE016A01026,EQ
DALBHARAT,Dalmia Bharat Limited,INE00R701025,EQ
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,INE495A01022,EQ
DAMCAPITAL,Dam Capital Advisors Limited,INE284H01025,EQ
DAMODARIND,Damodar Industries Limited,INE497D01022,EQ
DANGEE,Dangee Dums Limited,INE688Y01022,BE
DATAMATICS,Datamatics Global Services Limited,INE365B01017,EQ
DATAPATTNS,Data Patterns (India) Limited,INE0IX101010,EQ
DAVANGERE,Davangere Sugar Company Limited,INE179G01029,EQ
DBCORP,D.B.Corp Limited,INE950I01011,EQ
DBEIL,Deepak Builders & Engineers India Limited,INE0OPA01019,EQ
DBL,Dilip Buildcon Limited,INE917M01012,EQ
DBOL,Dhampur Bio Organics Limited,INE0I3401014,BE
DBREALTY,Valor Estate Limited,INE879I01012,EQ
DBSTOCKBRO,DB (International) Stock Brokers Limited,INE921B01025,EQ
DCAL,Dishman Carbogen Amcis Limited,INE385W01011,BE
